auc_roc,f1,precision,recall,brier,fold,model,train_rows,test_rows,seconds
0.6367633851185027,0.364101905156134,0.2615827425926497,0.5987717296221232,0.23613509771051072,Fold 1,logistic_regression,7071325,7266528,144.8
0.6499675103490787,0.37056570838553154,0.2698566061943311,0.5911976356155211,0.22791622908152925,Fold 1,random_forest,7071325,7266528,592.2
0.6481148086901475,0.36943475668175024,0.27005755820683436,0.5845350247849986,0.22772923174876286,Fold 1,xgboost,7071325,7266528,31.3
0.6488673949176501,0.37055667604147036,0.27076144452165735,0.586855491038162,0.22814220642341596,Fold 1,lightgbm,7071325,7266528,72.1
0.6517999486451647,0.3980164370491219,0.28476417011591865,0.6608335531560363,0.24455835563331535,Fold 2,logistic_regression,14337853,6528008,277.3
0.6632894005434359,0.4044310360146835,0.29320568730669083,0.651616986735789,0.2352275037631754,Fold 2,random_forest,14337853,6528008,1190.2
0.6648458695296124,0.4057800566303747,0.29503463193319357,0.6496265920795519,0.23503348850823735,Fold 2,xgboost,14337853,6528008,49.7
0.6657428791293922,0.4061244543628735,0.2945663834352172,0.6536894969802537,0.23584534408255928,Fold 2,lightgbm,14337853,6528008,111.8
0.6593779144275652,0.3971095417228358,0.2884406482726816,0.6371553404642452,0.2366903323170537,Fold 3 (production),logistic_regression,20865861,6740139,449.8
0.672975602611017,0.40515471400839703,0.2959064727899783,0.6422856433764911,0.23168566009377795,Fold 3 (production),random_forest,20865861,6740139,1797.5
0.6738686660709121,0.40566799107450396,0.2966183507196021,0.6415172883488519,0.23155923400385045,Fold 3 (production),xgboost,20865861,6740139,69.7
0.6737482641623114,0.40562619721376947,0.2961075587772331,0.643709084192953,0.2321352659865699,Fold 3 (production),lightgbm,20865861,6740139,155.7
