group,n,auc,f1,tpr,fpr,positive_pred_rate
SW,2051483,0.6711005882651305,0.4014758563519555,0.650245868427425,0.40551765490488806,0.45527406271463133
SE,1954703,0.6904080545665303,0.4271273172736224,0.6631325022750582,0.3890968077649417,0.4473293385235506
NE,1887882,0.6701710522895182,0.3983986704707794,0.6388438171153715,0.39634295239308615,0.44526670628778703
NW,846071,0.6605346494042093,0.39378248076988115,0.6066621511314889,0.3782788333872937,0.42490642038315934
