group,n,auc,f1,tpr,fpr,positive_pred_rate
major,4848457,0.6754288716796124,0.41808271919844225,0.6780171836430089,0.43019979875249686,0.48362169655211956
medium,1656819,0.672295615245633,0.3748406709843192,0.5564320651358498,0.3122112887392659,0.3564215523844186
small,234863,0.638870378720849,0.33708081772855125,0.4694540040516463,0.27807232892538114,0.31145816923057273
