model,auc_roc,f1,precision,recall,brier
logistic_regression,0.6593775344678611,0.39710963750186884,0.2884404536275474,0.6371567833844849,0.23669030516742415
random_forest,0.672975602611017,0.40515471400839703,0.2959064727899783,0.6422856433764911,0.23168566009377795
xgboost_tuned,0.6749782516328191,0.4066422624915251,0.2962436503367473,0.6482023378193723,0.23213373037643234
lightgbm_tuned,0.6754712863700759,0.40721726547721476,0.29741548515121347,0.6455430358176091,0.23157058018925847
"duration_regressor (LightGBM, MAE/RMSE shown as auc_roc/f1 cols)",49.251376560193656,100.92939632102852,0.022981098188459725,,
