year,label,n,actual_delay_rate,auc,f1
2020,COVID period (excluded from training),4396951,0.09816802597982102,0.6308464138324211,0.19845606229143492
2021,COVID period (excluded from training),5874238,0.17186739795016817,0.6902326857391475,0.38198709633078753
2023,In-distribution (2023),6740139,0.2056453138429341,0.6754712863700759,0.40721726547721476
